Provincia,Superficie en m2,Uso principal de la finca,Tipo de explotación,Disposición de agua,Infraestructura disponible,Electricidad disponible,Sistema de riego disponible,Acceso a la finca,Tipo de suelo,Drenaje del suelo,Pendiente del terreno,Cultivo principal,Sistema productivo,Tipo de instalación,Edad de plantación,Cosecha del último año,¿Recibe subvención PAC?,Precio estimado o deseado de venta,¿La finca está arrendada?,¿La finca está en venta?,¿Cuál es la intención de este servicio?
Huelva,7140,Agrícola,Secano,Red suministro doméstico,Caseta agrícola,Sí,Sí,Carretera,Arenoso,Bueno,Llano,Olivar,Intensivo,Aire libre,0-5 años,Alrededor de la media histórica,No,45000,No,No,Valoración informativa gratuita
Huelva,95000,Agrícola,Regadío,Pozo con concesión,Caseta agrícola,Sí,Sí,Camino agrícola bueno,Arcilloso,Bueno,Ondulado,Olivos,Intensivo,Aire libre,+ 20 años,Alrededor de la media histórica,Sí,250000,No,No,Valoración informativa gratuita
Huelva,50000,Agrícola,Secano,Red suministro doméstico,Nave agrícola,Sí,Sí,Carretera,Arcilloso,Bueno,Llano,Olivar,Intensivo,Aire libre,0-5 años,Por encima de la media histórica,Sí,90000,No,No,Valoración informativa gratuita
Sevilla,29.702,Agrícola,Regadío,Pozo con concesión,Caseta agrícola,Sí,Sí,Carretera,Albarizo,Bueno,Inclinado,Olivar,Extensivo,Aire libre,21 años - más,Alrededor de la media histórica,Sí,0,Sí,No,Valoración informativa gratuita
Huelva,10.000,Agrícola,Secano,No,Nada,No,No,Camino agrícola bueno,Arcilloso,Bueno,Ondulado,Olivar,Extensivo,Aire libre,21 años - más,Por debajo de la media histórica,No,20.000,No,No,Valoración informativa gratuita
Huelva,25000,Agrícola,Regadío,Pozo con concesión,Caseta agrícola,Sí,Sí,Camino agrícola bueno,Albarizo,Bueno,Ondulado,Olivar,Intensivo,Aire libre,11-20 años,Por debajo de la media histórica,Sí,70.000€,No,No,Valoración informativa gratuita
Huelva,106200,Agrícola,Regadío,Pozo con concesión,Caseta agrícola,Sí,Sí,Camino agrícola bueno,Albarizo,Bueno,Llano,Olivar,Extensivo,Aire libre,21 años - más,Alrededor de la media histórica,Sí,300.000€,No,No,Valoración informativa gratuita
Huelva,106000,Agrícola,Secano,No,Nada,No,No,Camino difícil,Arcilloso,Medio,Inclinado,Olivar,Intensivo,Aire libre,6-10 años,Alrededor de la media histórica,Sí,250.000€,No,Sí,Venta de la finca
Huelva,10000,Agrícola,Regadío,Pozo con concesión,Caseta agrícola,Sí,Sí,Carretera,Arcilloso,Medio,Ondulado,Olivar,Intensivo,Aire libre,21 años - más,Alrededor de la media histórica,Sí,300000,Sí,No,Valoración informativa gratuita
Huelva,130000,Agrícola,Secano,Red suministro doméstico,Nada,No,No,Camino agrícola bueno,Franco,Medio,Ondulado,Olivar,Intensivo,Aire libre,6-10 años,Alrededor de la media histórica,Sí,325000,Sí,No,Valoración informativa gratuita
HUELVA,60000,Agrícola,Regadío,Pozo con concesión,Caseta agrícola,No,Sí,Camino agrícola bueno,Franco,Medio,Ondulado,Olivar,Intensivo,Aire libre,0-5 años,Alrededor de la media histórica,Sí,150000,Sí,No,Valoración informativa gratuita
Huelva,45000,Agrícola,Regadío,Pozo con concesión,Caseta agrícola,Sí,Sí,Camino agrícola bueno,Arcilloso,Medio,Llano,Olivar,Intensivo,Aire libre,6-10 años,Por encima de la media histórica,Sí,145000,Sí,No,Valoración informativa gratuita
Huelva,16000,Agrícola,Secano,No,Nada,Sí,No,Camino agrícola bueno,Franco,Bueno,Llano,Olivar,Extensivo,Aire libre,21 años - más,Alrededor de la media histórica,Sí,28.000€,No,No,Valoración informativa gratuita
huelva,40000,Agrícola,Secano,No,Vivienda,No,No,Camino agrícola bueno,Franco,Bueno,Ondulado,Olivar,Ecológico,Aire libre,0-5 años,Alrededor de la media histórica,No,100000,No,No,Valoración informativa gratuita
